"X","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","greatCircleDist_km","treeID"
41,62,64,0.246324366227272,-20.1070877995724,-40.5028619149679,-20.5779160670733,-40.40341599181,33.8265072247911,33.5801828585638,2001.59919897526,2001.84552334148,41.3919615156351,184950000
42,62,63,7.99819727200387,-20.1070877995724,-40.5028619149679,-20.2860101150009,-40.4233198204934,41.5783801305677,33.5801828585638,2001.59919897526,2009.59739624726,17.5517455436895,184950000
43,63,20,0.612603752740226,-20.2860101150009,-40.4233198204934,-20.391538,-40.493512,42.1909838833079,41.5783801305677,2009.59739624726,2010.21,11.8725881161228,184950000
44,63,21,0.862603752740226,-20.2860101150009,-40.4233198204934,-20.266542,-40.421805,42.4409838833079,41.5783801305677,2009.59739624726,2010.46,1.65849845732527,184950000
45,64,24,4.36447665851682,-20.5779160670733,-40.40341599181,-20.650393,-40.507025,38.1909838833079,33.8265072247911,2001.84552334148,2006.21,13.0663113368847,184950000
46,64,65,5.59397567252792,-20.5779160670733,-40.40341599181,-20.267880098238,-40.2762752998394,39.420482897319,33.8265072247911,2001.84552334148,2007.43949901401,29.8732903190915,184950000
47,65,23,2.77050098598891,-20.267880098238,-40.2762752998394,-20.315357,-40.301785,42.1909838833079,39.420482897319,2007.43949901401,2010.21,4.93137296879132,184950000
48,65,22,2.60050098598883,-20.267880098238,-40.2762752998394,-20.315367,-40.301795,42.0209838833079,39.420482897319,2007.43949901401,2010.04,4.93270805622385,184950000
49,66,67,2.81129012021799,-18.4602335241816,-39.8972003316162,-19.2387191729973,-40.6567089143706,31.5998926845695,28.7886025643516,1996.80761868104,1999.61890880126,107.332965789498,184950000
50,66,75,4.81703064592381,-18.4602335241816,-39.8972003316162,-18.6405117293614,-40.4132574460462,33.6056332102754,28.7886025643516,1996.80761868104,2001.62464932697,59.4619242490601,184950000
51,67,69,6.10809378011665,-19.2387191729973,-40.6567089143706,-19.4111308155254,-40.6338888006375,37.7079864646862,31.5998926845695,1999.61890880126,2005.72700258138,14.7831319835228,184950000
